gene_id,S17S17_1,S17S17_2,S17S17_3,S17SDMSO_1,S17SDMSO_2,S17SDMSO_3,S5S1_1,S5S1_2,S5S1_3,S5SDMSO_1,S5SDMSO_2,S5SDMSO_3,S17S18_1,S17S18_2,S17S18_3,S13S8_1,S13S8_2,S13S8_3,S13SDMSO_1,S13SDMSO_2,S13SDMSO_3,S6S6_1,S6S6_2,S6S6_3,S6SDMSO_1,S6SDMSO_2,S6SDMSO_3
A1BG,1.7595,1.8845,1.70268,1.75874,1.29024,1.6217,0.706587,1.13527,0.892902,0.937255,0.827398,1.0831,1.17857,1.65633,1.57757,4.53905,4.45584,3.86876,1.68215,3.09009,2.79227,1.39077,1.49201,1.28702,1.18815,1.72795,2.00286
A1CF,0.0,0.0,0.0,0.0,0.00525369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.00750846,0.0702981,0.0343324,0.0416496,0.0397315,0.027602,0.00660553,0.0193069,0.0,0.0,0.0,0.0138429,0.0217783,0.0,0.00683287,0.00659208,0.0,0.0130734,0.0201976,0.0133024,0.0213401,0.0,0.0,0.0,0.0594494,0.163369,0.10592
A2ML1,0.1043,0.111442,0.0896268,0.0486873,0.0663969,0.0621077,0.18882,0.202963,0.149007,0.0565812,0.0847751,0.061581,0.0365574,0.0879853,0.129534,0.0849563,0.0,0.0911289,0.0201172,0.0264811,0.0989377,0.112971,0.134987,0.104475,0.0697471,0.0901138,0.0676751
A3GALT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,9.745,7.58747,6.49237,6.20272,5.33764,5.86495,8.38995,9.79571,8.66973,5.39753,6.27472,5.68377,6.65194,8.40833,9.57688,8.72088,7.10634,7.73254,7.02035,11.9385,9.98308,5.96572,4.82367,4.53014,6.36993,6.73839,5.86664
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346323
AAAS,17.7509,18.7791,18.4261,21.4779,21.08,21.4083,17.5869,20.0824,16.9828,15.1666,15.0962,15.5345,15.626,17.65,18.4342,12.4567,12.0641,12.8111,22.7492,26.2946,25.4261,14.5199,14.1314,12.7894,17.5123,19.0863,16.3082
AACS,16.6671,16.4804,12.7611,15.3728,14.8808,14.0032,19.2731,21.1691,17.66,17.7774,17.6773,17.8196,15.072,16.532,17.1364,16.1165,15.6602,16.5796,20.5702,25.6319,24.3503,30.1198,29.1639,29.0561,18.8085,19.9066,20.1194
AADAC,0.0334278,0.0308511,0.0310345,0.126275,0.0300295,0.123433,0.0,0.0562186,0.0,0.0,0.0285021,0.0610282,0.100657,0.0,0.0,0.0587922,0.0,0.0,0.0567449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0799044,0.0,0.0262466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246976,0.0,0.0,0.0246271,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
